"id","time","latitude","longitude","arsenic [mg/kg]","cadmium [mg/kg]","copper [mg/kg]","lead [mg/kg]","mercury [mg/kg]","zinc [mg/kg]"
"SB2-1-Sphaerotylus",2023-10-21,-77.85383,166.7759,1.48,7.3,4,1.28,0.044,12.2
"SB2-2-Sphaerotylus",2023-10-21,-77.85383,166.7759,1.27,5.9,3.1,1.66,0.039,9.8
"SB2-3-Sphaerotylus",2023-10-21,-77.85383,166.7759,1.16,3.2,3.7,13.6,0.024,10.2
"SB2-4-Sphaerotylus",2023-10-21,-77.85383,166.7759,1.23,3.6,4.1,1.48,0.033,10.2
"SB2-5-Sphaerotylus",2023-10-21,-77.85383,166.7759,1.25,6.2,2.8,1.38,0.034,9.1
"SB2-1-Laternula",2023-10-21,-77.85383,166.7759,5.7,6.3,35,0.65,0.059,32
"SB2-2-Laternula",2023-10-21,-77.85383,166.7759,4.2,7.2,4.6,0.36,0.071,22
"SB2-3-Laternula",2023-10-21,-77.85383,166.7759,5.4,6.1,4.5,1.47,0.064,38
"SB2-4-Laternula",2023-10-21,-77.85383,166.7759,1.92,1.44,12.7,0.88,0.019,17.4
"SB2-5-Laternula",2023-10-21,-77.85383,166.7759,4.6,6.9,7.8,0.37,0.06,35
